Ticker,Name,Exchange,Category Name,Country
SHJAGDM.BO,Shree Jagdambe Paper Mills Ltd.,BSE,,India
KMSUGAR.BO,KM Sugar Mills Ltd.,BSE,,India
SKPMIL.BO,Shree Krishna Paper Mills & Industries Ltd.,BSE,,India
KPRMILL.NS,K.P.R. Mill Limited,NSI,Textile - Apparel Clothing,India
KPIT.NS,KPIT Technologies Limited,NSI,Information Technology Services,India
KOTAKBANK.NS,Kotak Mahindra Bank Limited,NSI,Money Center Banks,India
KONARKSY.BO,"Konark Synthetic, Ltd.",BSE,,India
SONASTEER.BO,SONA KOYO STEERING SYSTEMS LTD,BSE,,India
SHKARTP.BO,Shree Karthik Papers Ltd.,BSE,,India
KUWERIN.BO,Kuwer Industries Limited,BSE,,India
KUNSTOFF.BO,Kunststoffe Industries,BSE,,India
KTKBANK.BO,Karnataka Bank Ltd.,BSE,,India
KTIL.NS,Kesar Terminals & Infrastructure Limited,NSI,Business Services,India
KSK.NS,KSK Energy Ventures Limited,NSI,Electric Utilities,India
KSK.BO,KSK Energy Ventures Limited,BSE,,India
KSERASERA.NS,KSS Limited,NSI,Entertainment - Diversified,India
KSCL.NS,Kaveri Seed Company Limited,NSI,Farm Products,India
KSCL.BO,Kaveri Seed Company Limited,BSE,,India
KREBSBIO.BO,Krebs Biochemicals & Industries Ltd,BSE,,India
KOTHARIPRO.NS,Kothari Products Limited,NSI,Industrial Metals & Minerals,India
KOTHARIPRO.BO,Kothari Products Ltd,BSE,,India
KOTARISUG.NS,Kothari Sugars and Chemicals Limited,NSI,Confectioners,India
KOTAKBANK.BO,Kotak Mahindra Bank Limited,BSE,,India
KOPRAN.NS,Kopran Limited,NSI,Drug Manufacturers - Major,India
KOPRAN.BO,Kopran Limited,BSE,,India
KOFFBREAK.BO,Koffee Break Pictures Limited,BSE,,India
KOATOOLIN.BO,KOA Tools India Limited,BSE,,India
KNRCON.NS,KNR Constructions Limited,NSI,General Contractors,India
KNRCON.BO,KNR Constructions Limited.,BSE,,India
KNIWE.BO,KNITWORTH EXPORTS LTD.,BSE,,India
KLKELEC.BO,KLK Electrical Ltd,BSE,,India
KITEX.NS,Kitex Garments Limited,NSI,Textile - Apparel Clothing,India
KIRLPNU.BO,Kirloskar Pneumatic Company Ltd,BSE,,India
KIRLOSENG.NS,Kirloskar Oil Engines Limited,NSI,Diversified Machinery,India
KIRANSY-B.BO,KIRAN SYNTEX LTD.,BSE,,India
KILPEST.BO,Kilpest India Ltd.,BSE,,India
KILBURN.BO,Kilburn Office Automation Ltd.,BSE,,India
KHODAY.BO,Khoday India Limited,BSE,,India
KBIL.NS,Kirloskar Brothers Investments Ltd.,NSI,,India
KHANDSE.BO,Khandwala Securities Limited,BSE,,India
KHAITANLTD.BO,Khaitan (India) Ltd.,BSE,,India
KGL.NS,Karuturi Global Limited,NSI,Farm Products,India
KESARENT.NS,Kesar Enterprises Limited,NSI,,India
KENNAMET.BO,Kennametal India Limited,BSE,,India
KENGI.BO,KENGOLD (INDIA) LTD.,BSE,,India
KEMP.BO,Kemp & Co. Ltd,BSE,,India
KEC.NS,KEC International Limited,NSI,Diversified Utilities,India
KDDL.BO,KDDL Limited,BSE,,India
KCPSUGIND.NS,K.C.P. Sugar and Industries Corporation Limited,NSI,Confectioners,India
KCP.BO,The KCP Limited,BSE,,India
KAYCEEI.BO,Kaycee Industries Ltd.,BSE,,India
KATWAUD.BO,Shri Keshav Cements and Infra Limited,BSE,,India
KATRSPG.BO,Katare Spinning Mills Ltd.,BSE,,India
GKCONS.BO,G.K. Consultants Limited,BSE,,India
ESKAY.BO,Eskay K'n'IT (India) Limited,BSE,,India
EKC.NS,Everest Kanto Cylinder Limited,NSI,Diversified Machinery,India
DAICHI.BO,Dai-Ichi Karkaria Limited,BSE,,India
ABMKNO.BO,ABM Knowledgeware Limited,BSE,,India
KRITIIND.BO,Kriti Industries (India) Ltd.,BSE,,India
KAJARIR.BO,KIC Metaliks Ltd.,BSE,,India
KSLIND.BO,KSL and Industries Ltd,BSE,,India
APOWERTOOL.BO,CONSORTEX KARL DOELITZCH (INDI,BSE,,India
KILBURNC.BO,Kilburn Chemicals Limited,BSE,,India
KAIRA.BO,Kaira Can Company Limited,BSE,,India
KSL.NS,Kalyani Steels Limited,NSI,Steel & Iron,India
KUSHAL.BO,KUSHAL TRADELINK LTD,BSE,,India
KANELIND.BO,KANEL INDUSTRIES LIMITED,BSE,,India
KANSAINER.NS,Kansai Nerolac Paints Limited,NSI,Specialty Chemicals,India
KANDAGIRI.BO,KANDAGIRI SPINNING MILLS LTD.,BSE,,India
SKUMARSYN.NS,S. Kumars Nationwide Ltd.,NSI,,India
KICL-EQ.NS,KALYANI INVESTMENT COMPANY LIMI,NSI,,India
MRF.NS,MRF Limited,NSI,Rubber & Plastics,India
TATASTEEL.NS,Tata Steel Limited,NSI,Steel & Iron,India
SPICEJET.BO,SpiceJet Limited,BSE,,India
RPOWER.BO,Reliance Power Limited,BSE,,India
RELIANCE.NS,Reliance Industries Limited,NSI,Oil & Gas Refining & Marketing,India
NOCIL.NS,NOCIL Limited,NSI,Chemicals - Major Diversified,India
ICIL.NS,Indo Count Industries Limited,NSI,Textile Industrial,India
WARNER.BO,Warner Multimedia Ltd.,BSE,,India
WALCHPF.BO,Walchand Peoplefirst Limited,BSE,,India
TCS.NS,Tata Consultancy Services Limited,NSI,Information Technology Services,India
TCI.BO,Transport Corp. of India Ltd.,BSE,,India
SURANAIND.NS,Surana Industries Limited,NSI,Steel & Iron,India
STANPACK.BO,Stanpacks (India) Limited,BSE,,India
SASKEN.NS,Sasken Technologies Limited,NSI,Technical & System Software,India
RENUKA.BO,Shree Renuka Sugars Limited,BSE,,India
RELINFRA.NS,Reliance Infrastructure Limited,NSI,Electric Utilities,India
RELCAPITAL.BO,Reliance Capital Limited,BSE,,India
RAIN.BO,Rain Industries Limited,BSE,,India
PRATIBHA.BO,Pratibha Industries Ltd.,BSE,,India
PRAJIND.NS,Praj Industries Limited,NSI,General Contractors,India
POLTC.BO,Polygenta Technologies Limited,BSE,,India
OLYOI.BO,Olympic Oil Industries Ltd.,BSE,,India
NICCO.NS,Nicco Corporation Limited,NSI,Diversified Machinery,India
MPILCORPL.BO,MPIL Corporation Limited,BSE,,India
MARUTI.NS,Maruti Suzuki India Limited,NSI,Auto Manufacturers - Major,India
LUPIN.NS,Lupin Limited,NSI,Drugs - Generic,India
INFY.BO,Infosys Limited,BSE,,India
INDRAMEDCO.BO,Indraprastha Medical Corp. Ltd.,BSE,,India
CAIRN.NS,Cairn India Limited,NSI,Major Integrated Oil & Gas,India
ZYDUSWELL.BO,Zydus Wellness Limited,BSE,,India
ZENOTECH.BO,Zenotech Laboratories Limited,BSE,,India
ZENITHBIR.NS,Zenith Birla (India) Limited,NSI,Metal Fabrication,India
YESBANK.NS,Yes Bank Limited,NSI,Money Center Banks,India
YASHPPR.BO,Yash Papers Limited,BSE,,India
XPROINDIA.NS,Xpro India Limited,NSI,Specialty Chemicals,India
WIPRO.BO,Wipro Ltd.,BSE,,India
WELSPSY.BO,AYM Syntex Limited,BSE,,India
VOLTAS.NS,Voltas Limited,NSI,General Contractors,India
VISHMEL.BO,Vishal Malleables Ltd.,BSE,,India
VISAKAIND.NS,Visaka Industries Limited,NSI,General Building Materials,India
VARDHCH.BO,Vardhaman Laboratories Ltd.,BSE,,India
VANTAGE.BO,Vantage Corporate Services Ltd.,BSE,,India
UTLTD.BO,UT Ltd.,BSE,,India
USHERAGRO.NS,Usher Agro Limited,NSI,Farm Products,India
UNISTRMU.BO,Unistar Multimedia Limited,BSE,,India
UFO.NS,UFO Moviez India Limited,NSI,Entertainment - Diversified,India
UFLEX.NS,Uflex Limited,NSI,Packaging & Containers,India
TV18BRDCST.NS,TV18 Broadcast Limited,NSI,Broadcasting - TV,India
TRITONV.BO,Triton Valves Ltd,BSE,,India
TRIGYN.NS,Trigyn Technologies Limited,NSI,Technical & System Software,India
TRICOM.BO,Tricom India Limited,BSE,,India
TRENT.NS,Trent Limited,NSI,Apparel Stores,India
TIDEWATER.NS,"Tide Water Oil Co. (India), Ltd.",NSI,Oil & Gas Refining & Marketing,India
TECHM.NS,Tech Mahindra Limited,NSI,Information Technology Services,India
TATAMOTORS.NS,Tata Motors Limited,NSI,Auto Manufacturers - Major,India
